,Model_Name,Train_Accuracy,F1_0Class,F1_1Class,Test_Accuracy,F1_0Class_test,F1_1Class_test,Features,Comments
0,Logistic,0.5,0.0,0.6666666666666666,0.27,0.0,0.4251968503937008,Non-Text, C : 0.001| Penalty : l1
1,Logistic,0.7670126874279123,0.7580838323353294,0.7753058954393771,0.785,0.8401486988847583,0.6717557251908397,Non-Text, C : 0.001| Penalty : l2
2,Logistic,0.7615340253748558,0.7562628941939286,0.7665819926615862,0.7733333333333333,0.8312655086848635,0.6548223350253808,Non-Text, C : 0.01| Penalty : l1
3,Logistic,0.7696078431372549,0.7654828294687408,0.7735902521960896,0.7916666666666666,0.8451053283767039,0.6819338422391857,Non-Text, C : 0.01| Penalty : l2
4,Logistic,0.7753748558246828,0.773216885007278,0.7774921451013996,0.8033333333333333,0.8535980148883375,0.7005076142131981,Non-Text, C : 0.1| Penalty : l1
5,Logistic,0.7719146482122261,0.7694549693966775,0.7743223965763195,0.8066666666666666,0.8564356435643564,0.7040816326530612,Non-Text, C : 0.1| Penalty : l2
6,Logistic,0.7724913494809689,0.7695004382120946,0.7754056362083689,0.8133333333333334,0.8620689655172414,0.7113402061855669,Non-Text, C : 1| Penalty : l1
7,Logistic,0.7724913494809689,0.7696350364963503,0.7752776986613499,0.8133333333333334,0.8620689655172414,0.7113402061855669,Non-Text, C : 1| Penalty : l2
8,Logistic,0.7719146482122261,0.7691858768602277,0.774579652322599,0.8116666666666666,0.8606658446362515,0.7095115681233932,Non-Text, C : 10| Penalty : l1
9,Logistic,0.7719146482122261,0.769051094890511,0.7747080603816576,0.8116666666666666,0.8606658446362515,0.7095115681233932,Non-Text, C : 10| Penalty : l2
10,Logistic,0.7719146482122261,0.7691858768602277,0.774579652322599,0.8116666666666666,0.8606658446362515,0.7095115681233932,Non-Text, C : 100| Penalty : l1
11,Logistic,0.7716262975778547,0.7688266199649737,0.7743589743589743,0.8116666666666666,0.8606658446362515,0.7095115681233932,Non-Text, C : 100| Penalty : l2
12,XGBoost,0.9824106113033448,0.9824863623313235,0.9823342021430639,0.7916666666666666,0.8564867967853041,0.6200607902735563,Non-Text," Best_Score_ : 0.8532295271049596| Best_Param_ : {'colsample_bytree': 0.7, 'max_depth': 10, 'n_estimators': 100}"
13,RandomForest,0.9016724336793541,0.9000878992089072,0.9032074936133977,0.8,0.8571428571428571,0.6666666666666666,Non-Text," Best_Score_ : 0.8215109573241061| Best_Param_ : {'n_estimators': 75, 'min_samples_leaf': 5, 'max_depth': 20, 'class_weight': 'balanced_subsample'}"
14,Logistic,0.5,0.6666666666666666,0.0,0.73,0.8439306358381503,0.0,TFIDF, C : 0.001| Penalty : l1
15,Logistic,0.8457324106113033,0.8387096774193549,0.8521691074882564,0.7916666666666666,0.8481166464155528,0.6684350132625995,TFIDF, C : 0.001| Penalty : l2
16,Logistic,0.5,0.6666666666666666,0.0,0.73,0.8439306358381503,0.0,TFIDF, C : 0.01| Penalty : l1
17,Logistic,0.8448673587081892,0.8306045340050379,0.8569148936170212,0.76,0.8158567774936061,0.6555023923444976,TFIDF, C : 0.01| Penalty : l2
18,Logistic,0.7044405997693195,0.6402246402246402,0.7492047956936628,0.62,0.6779661016949152,0.5365853658536586,TFIDF, C : 0.1| Penalty : l1
19,Logistic,0.8650519031141869,0.8544776119402986,0.8741935483870966,0.7766666666666666,0.8316582914572864,0.6683168316831684,TFIDF, C : 0.1| Penalty : l2
20,Logistic,0.8768742791234141,0.8704097116843702,0.882724526229058,0.78,0.8382352941176471,0.65625,TFIDF, C : 1| Penalty : l1
21,Logistic,0.9175317185697809,0.913751507840772,0.9209944751381215,0.8133333333333334,0.8640776699029125,0.702127659574468,TFIDF, C : 1| Penalty : l2
22,Logistic,0.9936562860438293,0.9936157864190366,0.9936962750716332,0.8216666666666667,0.8736717827626919,0.6968838526912181,TFIDF, C : 10| Penalty : l1
23,Logistic,0.9786620530565168,0.9783499122293738,0.9789653212052302,0.82,0.8723404255319149,0.6949152542372882,TFIDF, C : 10| Penalty : l2
24,Logistic,0.9979815455594002,0.9979774631609362,0.9979856115107913,0.8,0.8591549295774648,0.6551724137931035,TFIDF, C : 100| Penalty : l1
25,Logistic,0.9976931949250288,0.9976878612716763,0.9976985040276178,0.7883333333333333,0.8497041420118343,0.6422535211267607,TFIDF, C : 100| Penalty : l2
26,XGBoost,0.9472318339100346,0.9459698848538529,0.94843617920541,0.8033333333333333,0.8637413394919169,0.6467065868263472,TFIDF," Best_Score_ : 0.8722606689734718| Best_Param_ : {'colsample_bytree': 0.7, 'max_depth': 10, 'n_estimators': 100}"
27,RandomForest,0.8578431372549019,0.8620979020979022,0.8533174650401666,0.8066666666666666,0.867579908675799,0.6419753086419753,TFIDF," Best_Score_ : 0.8295847750865052| Best_Param_ : {'n_estimators': 50, 'min_samples_leaf': 5, 'max_depth': 20, 'class_weight': 'balanced'}"
28,Logistic,0.5,0.6666666666666666,0.0,0.73,0.8439306358381503,0.0,Word2Vec, C : 0.001| Penalty : l1
29,Logistic,0.5144175317185697,0.667193675889328,0.10234541577825161,0.725,0.8387096774193548,0.06779661016949153,Word2Vec, C : 0.001| Penalty : l2
30,Logistic,0.5,0.6666666666666666,0.0,0.73,0.8439306358381503,0.0,Word2Vec, C : 0.01| Penalty : l1
31,Logistic,0.5885236447520185,0.6420867820416353,0.5161071549677857,0.655,0.7666290868094702,0.33865814696485624,Word2Vec, C : 0.01| Penalty : l2
32,Logistic,0.6113033448673587,0.6183465458663646,0.6039952996474736,0.6233333333333333,0.7216748768472906,0.4175257731958763,Word2Vec, C : 0.1| Penalty : l1
33,Logistic,0.6121683967704729,0.621233455364686,0.6026587887740029,0.62,0.7199017199017199,0.4093264248704664,Word2Vec, C : 0.1| Penalty : l2
34,Logistic,0.6672433679354095,0.658983451536643,0.6751126126126127,0.6466666666666666,0.7356608478802993,0.46733668341708545,Word2Vec, C : 1| Penalty : l1
35,Logistic,0.6213956170703575,0.6223756111590452,0.6204105232726222,0.62,0.7171215880893301,0.42131979695431476,Word2Vec, C : 1| Penalty : l2
36,Logistic,0.7580738177623991,0.7400061977068485,0.7737934753302778,0.7,0.7732997481108312,0.5566502463054187,Word2Vec, C : 10| Penalty : l1
37,Logistic,0.6597462514417531,0.6541617819460727,0.6651532349602723,0.635,0.7265917602996254,0.4511278195488722,Word2Vec, C : 10| Penalty : l2
38,Logistic,0.776239907727797,0.7618170656844689,0.7890157694399129,0.6933333333333334,0.7670886075949368,0.551219512195122,Word2Vec, C : 100| Penalty : l1
39,Logistic,0.7439446366782007,0.7240522063393413,0.761161915008069,0.69,0.7645569620253164,0.5463414634146341,Word2Vec, C : 100| Penalty : l2
40,XGBoost,0.9982698961937716,0.9982678983833719,0.9982718894009217,0.7166666666666667,0.8023255813953489,0.5,Word2Vec," Best_Score_ : 0.8356401384083045| Best_Param_ : {'colsample_bytree': 0.5, 'max_depth': 10, 'n_estimators': 100}"
41,RandomForest,0.9625144175317186,0.9619883040935673,0.9630261660978385,0.7066666666666667,0.794392523364486,0.48837209302325585,Word2Vec," Best_Score_ : 0.7995963091118801| Best_Param_ : {'n_estimators': 100, 'min_samples_leaf': 5, 'max_depth': 16, 'class_weight': 'balanced_subsample'}"
42,Logistic,0.5,0.6666666666666666,0.0,0.73,0.8439306358381503,0.0,CountVect, C : 0.001| Penalty : l1
43,Logistic,0.7753748558246828,0.7740063823614738,0.7767268558326168,0.73,0.8048192771084336,0.5621621621621622,CountVect, C : 0.001| Penalty : l2
44,Logistic,0.6882929642445214,0.5888170406998859,0.7490132342697933,0.5583333333333333,0.6074074074074074,0.4952380952380952,CountVect, C : 0.01| Penalty : l1
45,Logistic,0.8194925028835064,0.7985842985842986,0.8364681295715777,0.7266666666666667,0.7918781725888325,0.6019417475728156,CountVect, C : 0.01| Penalty : l2
46,Logistic,0.798154555940023,0.775208734746307,0.8168498168498168,0.71,0.7757731958762888,0.589622641509434,CountVect, C : 0.1| Penalty : l1
47,Logistic,0.8725490196078431,0.8631578947368421,0.8807339449541284,0.76,0.8217821782178218,0.6326530612244898,CountVect, C : 0.1| Penalty : l2
48,Logistic,0.9175317185697809,0.9141141141141141,0.9206877426511371,0.7783333333333333,0.8380024360535933,0.6490765171503957,CountVect, C : 1| Penalty : l1
49,Logistic,0.9411764705882353,0.9393218322427126,0.9429210968102967,0.8,0.8550724637681159,0.6774193548387097,CountVect, C : 1| Penalty : l2
50,Logistic,0.9884659746251442,0.9883788495061012,0.9885518030910131,0.7833333333333333,0.8448687350835322,0.6408839779005524,CountVect, C : 10| Penalty : l1
51,Logistic,0.9826989619377162,0.9824970828471411,0.9828962371721778,0.7766666666666666,0.8412322274881516,0.6235955056179775,CountVect, C : 10| Penalty : l2
52,Logistic,0.9945213379469435,0.9945070829719572,0.994535519125683,0.765,0.8331360946745563,0.6028169014084508,CountVect, C : 100| Penalty : l1
53,Logistic,0.9916378316032295,0.9915868871482449,0.9916881627973632,0.7633333333333333,0.8321513002364066,0.5988700564971753,CountVect, C : 100| Penalty : l2
54,XGBoost,0.9008073817762399,0.894413750767342,0.9064709081022294,0.7516666666666667,0.8219832735961768,0.5895316804407715,CountVect," Best_Score_ : 0.8281430219146482| Best_Param_ : {'colsample_bytree': 0.7, 'max_depth': 10, 'n_estimators': 100}"
55,RandomForest,0.8226643598615917,0.8103607770582794,0.8334687246141349,0.7166666666666667,0.7931873479318734,0.5502645502645502,CountVect," Best_Score_ : 0.779123414071511| Best_Param_ : {'n_estimators': 75, 'min_samples_leaf': 10, 'max_depth': 16, 'class_weight': 'balanced_subsample'}"
56,Logistic,0.5,0.0,0.6666666666666666,0.27,0.0,0.4251968503937008,Non-Text+TFIDF, C : 0.001| Penalty : l1
57,Logistic,0.7698961937716263,0.7615062761506276,0.777715877437326,0.7816666666666666,0.8376703841387856,0.6666666666666666,Non-Text+TFIDF, C : 0.001| Penalty : l2
58,Logistic,0.7647058823529411,0.7588652482269505,0.7702702702702703,0.7766666666666666,0.8341584158415842,0.6581632653061223,Non-Text+TFIDF, C : 0.01| Penalty : l1
59,Logistic,0.7869088811995386,0.7823269513991162,0.7913018921208699,0.8016666666666666,0.8532675709001232,0.6940874035989716,Non-Text+TFIDF, C : 0.01| Penalty : l2
60,Logistic,0.7880622837370242,0.7822222222222223,0.7935973041280538,0.8033333333333333,0.8528678304239401,0.7035175879396984,Non-Text+TFIDF, C : 0.1| Penalty : l1
